week,openrouter_author,revenue,market_share
2024-04-29,neversleep,0.0,
2024-04-29,nousresearch,0.0,
2024-04-29,open-orca,0.0,
2024-04-29,openai,0.0,
2024-04-29,openchat,0.0,
2024-04-29,openrouter,0.0,
2024-04-29,perplexity,0.0,
2024-04-29,phind,0.0,
2024-04-29,pygmalionai,0.0,
2024-04-29,recursal,0.0,
2024-04-29,rwkv,0.0,
2024-04-29,sao10k,0.0,
2024-04-29,snowflake,0.0,
2024-04-29,sophosympatheia,0.0,
2024-04-29,teknium,0.0,
2024-04-29,togethercomputer,0.0,
2024-04-29,undi95,0.0,
2024-04-29,xwin-lm,0.0,
2024-05-06,01-ai,0.0,
2024-05-06,allenai,0.0,
2024-05-06,alpindale,0.0,
2024-05-06,anthropic,0.0,
2024-05-06,austism,0.0,
2024-05-06,codellama,0.0,
2024-05-06,cognitivecomputations,0.0,
2024-05-06,cohere,0.0,
2024-05-06,databricks,0.0,
2024-05-06,fireworks,0.0,
2024-05-06,google,0.0,
2024-05-06,gryphe,0.0,
2024-05-06,huggingfaceh4,0.0,
2024-05-06,intel,0.0,
2024-05-06,jebcarter,0.0,
2024-05-06,jetmoe,0.0,
2024-05-06,jondurbin,0.0,
2024-05-06,koboldai,0.0,
2024-05-06,liuhaotian,0.0,
2024-05-06,lizpreciatior,0.0,
2024-05-06,lynn,0.0,
2024-05-06,mancer,0.0,
2024-05-06,meta-llama,0.0,
2024-05-06,microsoft,0.0,
2024-05-06,mistralai,0.0,
2024-05-06,neversleep,0.0,
2024-05-06,nousresearch,0.0,
2024-05-06,open-orca,0.0,
2024-05-06,openai,0.0,
2024-05-06,openchat,0.0,
2024-05-06,openrouter,0.0,
2024-05-06,perplexity,0.0,
2024-05-06,phind,0.0,
2024-05-06,pygmalionai,0.0,
2024-05-06,qwen,0.0,
2024-05-06,recursal,0.0,
2024-05-06,rwkv,0.0,
2024-05-06,sao10k,0.0,
2024-05-06,snowflake,0.0,
2024-05-06,sophosympatheia,0.0,
2024-05-06,teknium,0.0,
2024-05-06,togethercomputer,0.0,
2024-05-06,undi95,0.0,
2024-05-06,xwin-lm,0.0,
2024-05-20,01-ai,0.0,
2024-05-20,allenai,0.0,
2024-05-20,alpindale,0.0,
2024-05-20,anthropic,0.0,
2024-05-20,austism,0.0,
